Start Time,End Time,Distance
2023-05-20 22:33:20,2023-05-20 22:34:20,19.24192548085536
2023-05-21 08:27:57,2023-05-21 08:29:55,61.84904618846366
2023-05-21 08:37:10,2023-05-21 08:38:46,62.53625781277993
2023-05-21 08:38:46,2023-05-21 08:39:57,32.98615796718062
2023-05-21 08:39:57,2023-05-21 08:40:25,43.20710773392858
2023-05-21 08:40:25,2023-05-21 08:42:35,51.54087182371972
2023-05-21 08:42:35,2023-05-21 08:43:33,42.6071207076083
2023-05-21 08:51:10,2023-05-21 08:52:11,71.4875631125656
2023-05-21 08:52:11,2023-05-21 08:53:12,89.89203966523694
2023-05-21 08:53:12,2023-05-21 08:54:12,85.77425506383052
2023-05-21 08:54:12,2023-05-21 08:55:12,72.64668612411892
2023-05-21 08:55:12,2023-05-21 08:55:47,38.69634251824677
2023-05-21 08:55:57,2023-05-21 08:57:09,24.739618475385466
2023-05-21 08:57:09,2023-05-21 08:57:23,7.559327867478892
2023-05-21 09:06:51,2023-05-21 09:06:58,15.008643315908916
2023-05-21 09:06:58,2023-05-21 09:07:51,70.26077037586245
2023-05-21 09:08:51,2023-05-21 09:09:48,82.85092269194331
2023-05-21 09:09:48,2023-05-21 09:10:02,20.365070038575766
2023-05-21 09:10:02,2023-05-21 09:10:59,82.09640231344085
2023-05-21 09:10:59,2023-05-21 09:11:15,23.76100166609938
2023-05-21 09:11:15,2023-05-21 09:12:09,75.17811593282443
2023-05-21 09:12:09,2023-05-21 09:12:23,22.404811482203396
2023-05-21 09:12:23,2023-05-21 09:13:14,62.715179731086735
2023-05-21 09:13:14,2023-05-21 09:13:20,7.345065842707549
2023-05-21 09:28:33,2023-05-21 09:30:32,66.65952755867751
2023-05-21 09:30:32,2023-05-21 09:31:33,88.87173842655496
2023-05-21 09:31:33,2023-05-21 09:32:24,73.3812900293146
2023-05-21 09:46:06,2023-05-21 09:49:38,72.84443217752387
2023-05-21 09:49:38,2023-05-21 09:50:39,78.03966358899248
2023-05-21 09:50:39,2023-05-21 09:51:39,77.94903328680522
2023-05-21 09:51:39,2023-05-21 09:52:39,81.42424047228585
2023-05-21 09:52:39,2023-05-21 09:53:39,82.18041723881116
2023-05-21 09:53:39,2023-05-21 09:54:40,81.22205174418868
2023-05-21 09:54:40,2023-05-21 09:55:40,83.2805949852184
2023-05-21 09:55:40,2023-05-21 09:56:41,78.98691097918825
2023-05-21 09:56:41,2023-05-21 09:57:41,77.90770109899192
2023-05-21 09:57:41,2023-05-21 09:58:42,50.85366019940346
2023-05-21 09:58:42,2023-05-21 09:59:32,65.38014844093873
2023-05-21 10:44:12,2023-05-21 10:44:38,6.87211624316263
2023-05-21 11:03:41,2023-05-21 11:04:41,18.5547138565391
2023-05-21 11:04:41,2023-05-21 11:06:11,39.85827421034325
2023-05-21 11:06:11,2023-05-21 11:07:34,48.10481370213841
2023-05-21 11:07:34,2023-05-21 11:08:12,45.285304157146804
2023-05-21 11:08:12,2023-05-21 11:09:43,74.2188554261564
2023-05-21 11:09:43,2023-05-21 11:10:43,79.01940613921907
2023-05-21 11:10:43,2023-05-21 11:11:48,77.48996997639789
2023-05-21 11:11:48,2023-05-21 11:11:54,9.697336435127212
2023-05-21 11:11:54,2023-05-21 11:12:56,76.28895281640733
2023-05-21 11:12:56,2023-05-21 11:13:14,24.33041854686123
2023-05-21 11:13:14,2023-05-21 11:13:55,56.0869116120168
2023-05-21 11:13:55,2023-05-21 11:14:14,23.99784569950703
2023-05-21 11:14:14,2023-05-21 11:14:56,59.257845927051484
2023-05-21 11:14:56,2023-05-21 11:15:14,24.186703838444664
2023-05-21 11:15:14,2023-05-21 11:15:56,61.48376035758676
2023-05-21 11:15:56,2023-05-21 11:16:14,25.55243752043532
2023-05-21 11:16:14,2023-05-21 11:16:57,61.16184863337594
2023-05-21 11:16:57,2023-05-21 11:17:15,26.74660258238653
2023-05-21 11:17:15,2023-05-21 11:17:57,56.70830917121713
2023-05-21 11:17:57,2023-05-21 11:18:15,25.656110513802936
2023-05-21 11:18:15,2023-05-21 11:18:58,58.96237602922639
2023-05-21 11:18:58,2023-05-21 11:19:15,24.68407119527073
2023-05-21 11:19:15,2023-05-21 11:19:57,59.57838168513599
2023-05-21 11:19:57,2023-05-21 11:20:16,19.632969274899136
2023-05-21 11:20:16,2023-05-21 11:21:00,53.458421824685445
2023-05-21 16:13:21,2023-05-21 16:17:31,85.90145303953287
2023-05-21 16:17:31,2023-05-21 16:18:04,54.27155017429994
2023-05-21 16:18:04,2023-05-21 16:19:05,91.94101599725246
2023-05-21 16:19:05,2023-05-21 16:20:17,108.49128378967528
2023-05-21 16:20:17,2023-05-21 16:20:34,26.371412696420446
2023-05-21 16:20:34,2023-05-21 16:20:57,37.413142561590675
2023-05-21 16:25:52,2023-05-21 16:30:22,92.77356928269549
2023-05-21 16:30:22,2023-05-21 16:30:49,38.67087307793936
2023-05-21 16:30:49,2023-05-21 16:31:53,95.55712960620934
2023-05-21 16:31:53,2023-05-21 16:32:20,40.91640800572189
2023-05-21 16:32:20,2023-05-21 16:33:00,58.22934340624034
2023-05-21 16:33:00,2023-05-21 16:33:21,31.473683002810997
2023-05-21 16:33:21,2023-05-21 16:34:04,53.52343310873514
2023-05-21 16:34:04,2023-05-21 16:34:25,32.51875355811939
2023-05-21 16:34:25,2023-05-21 16:34:50,39.99993825220992
2023-05-21 16:34:50,2023-05-21 16:35:13,9.62096274042768
2023-05-21 16:35:13,2023-05-21 16:35:25,10.995385989060207
2023-05-21 16:35:25,2023-05-21 16:36:01,54.76754254423394
2023-05-21 18:31:34,2023-05-21 18:32:34,17.180290607906574
2023-05-21 19:15:29,2023-05-21 19:16:59,30.92452309423183
2023-05-21 19:16:59,2023-05-21 19:17:07,11.910932387882552
2023-05-21 19:31:35,2023-05-21 19:32:55,27.48846497265052
2023-05-21 19:32:55,2023-05-21 19:33:33,15.118655734957784
2023-05-21 19:35:51,2023-05-21 19:36:09,4.81048137021384
2023-05-21 19:37:50,2023-05-21 19:38:12,18.5547138565391
2023-05-21 19:44:38,2023-05-21 19:46:44,43.294332331924565
2023-05-21 19:46:44,2023-05-21 19:47:10,22.677983602436676
2023-05-21 19:47:10,2023-05-21 19:47:55,58.70369705424111
2023-05-21 19:47:55,2023-05-21 19:48:09,17.99842280168181
2023-05-21 19:48:09,2023-05-21 19:49:14,50.85366019940346
2023-05-21 19:49:14,2023-05-21 19:49:42,37.275985700857355
2023-05-21 19:49:42,2023-05-21 19:50:43,85.25141442317505
2023-05-21 19:50:43,2023-05-21 19:51:45,88.00314371050877
2023-05-21 19:51:45,2023-05-21 19:51:57,8.933751116111418
2023-05-21 19:51:57,2023-05-21 19:52:47,62.960335501150176
2023-05-21 19:52:47,2023-05-21 19:52:52,9.006494392984948
2023-05-21 19:54:31,2023-05-21 19:55:13,25.42683009970173
2023-05-21 19:57:34,2023-05-21 19:58:34,17.867502232222837
2023-05-21 19:58:36,2023-05-21 19:59:40,21.990771978120414
2023-05-21 20:11:28,2023-05-21 20:12:28,15.118655734957784
2023-05-21 20:12:28,2023-05-21 20:14:11,92.08635765837923
2023-05-21 20:14:11,2023-05-21 20:14:31,29.478523503793813
2023-05-21 20:14:31,2023-05-21 20:15:11,62.64889361555006
2023-05-21 20:15:11,2023-05-21 20:15:37,35.0408693397603
2023-05-21 20:15:37,2023-05-21 20:15:49,15.996726457960161
2023-05-21 20:15:49,2023-05-21 20:16:25,54.54218110180504
2023-05-21 20:16:25,2023-05-21 20:16:49,24.109400399996172
2023-05-21 20:16:49,2023-05-21 20:17:01,14.951839066675948
2023-05-21 20:17:01,2023-05-21 20:17:25,29.60714734271064
2023-05-21 20:17:25,2023-05-21 20:17:35,11.56345892471575
2023-05-21 20:17:35,2023-05-21 20:18:22,66.48249609280201
2023-05-21 20:18:22,2023-05-21 20:18:35,19.672347578192493
2023-05-21 20:18:35,2023-05-21 20:19:35,80.12694750594795
2023-05-21 20:19:35,2023-05-21 20:19:51,22.551844742286033
2023-05-21 20:19:51,2023-05-21 20:20:07,25.089708944705677
2023-05-21 20:20:07,2023-05-21 20:20:35,34.12633849910767
2023-05-21 20:20:35,2023-05-21 20:20:59,30.271480342521894
2023-05-21 20:20:59,2023-05-21 20:21:24,29.03494449059247
2023-05-21 20:21:24,2023-05-21 20:21:50,31.913337812231337
2023-05-21 20:21:50,2023-05-21 20:22:12,10.995385989060207
2023-05-21 20:22:12,2023-05-21 20:22:36,21.30356035380415
2023-05-21 20:22:36,2023-05-21 20:22:55,22.966992497661032
2023-05-21 21:10:34,2023-05-21 21:11:36,21.30356035380415
2023-05-21 21:13:10,2023-05-21 21:14:10,17.867502232222837
2023-05-21 21:18:16,2023-05-21 21:19:20,21.990771978120414
2023-05-21 21:19:20,2023-05-21 21:20:04,12.369809237692733
2023-05-21 21:31:52,2023-05-21 21:32:52,17.180290607906574
2023-05-21 21:40:29,2023-05-21 21:41:31,21.30356035380415
2023-05-21 21:41:59,2023-05-21 21:42:59,19.24192548085536
2023-05-21 21:43:16,2023-05-21 21:44:20,21.990771978120414
2023-05-21 21:48:34,2023-05-21 21:49:34,17.180290607906574
2023-05-21 21:49:34,2023-05-21 21:49:46,20.09093768663161
2023-05-21 23:10:32,2023-05-21 23:11:32,16.49307898359031
2023-05-21 23:11:48,2023-05-21 23:12:48,15.805867359274048
2023-05-21 23:14:11,2023-05-21 23:14:19,12.218584654067513
2023-05-21 23:15:33,2023-05-21 23:15:40,7.832215156978279
2023-05-21 23:15:40,2023-05-21 23:16:04,26.746339074561124
2023-05-21 23:16:04,2023-05-21 23:16:33,40.37466566908614
2023-05-21 23:16:33,2023-05-21 23:16:52,23.997831022535017
2023-05-21 23:16:52,2023-05-21 23:17:48,38.48385096171072
2023-05-21 23:17:48,2023-05-21 23:18:10,30.819154262733317
2023-05-21 23:18:10,2023-05-21 23:18:23,13.079460576252476
2023-05-21 23:18:23,2023-05-21 23:18:49,30.81683868833005
2023-05-21 23:18:49,2023-05-21 23:19:44,55.62213880814974
2023-05-21 23:19:44,2023-05-21 23:19:48,2.7488464972650517
2023-05-22 07:32:22,2023-05-22 07:34:04,35.04779284012941
2023-05-22 07:34:22,2023-05-22 07:37:32,65.28510431004497
2023-05-22 07:37:32,2023-05-22 07:38:32,76.5585270088022
2023-05-22 07:38:32,2023-05-22 07:39:31,65.22846075185186
2023-05-22 07:39:31,2023-05-22 07:40:34,46.730390453505876
2023-05-22 07:40:34,2023-05-22 07:41:34,78.12651603858329
2023-05-22 07:41:34,2023-05-22 07:42:55,46.730390453505876
