Start Time,End Time,Steps
2023-05-21 09:05:51,2023-05-21 09:06:51,8
2023-05-21 09:06:51,2023-05-21 09:06:58,17
2023-05-21 09:06:58,2023-05-21 09:07:51,93
2023-05-21 09:07:51,2023-05-21 09:08:51,10
2023-05-21 09:08:51,2023-05-21 09:09:48,107
2023-05-21 09:09:48,2023-05-21 09:10:02,26
2023-05-21 09:10:02,2023-05-21 09:10:59,106
2023-05-21 09:10:59,2023-05-21 09:11:15,30
2023-05-21 09:11:15,2023-05-21 09:12:09,98
2023-05-21 09:12:09,2023-05-21 09:12:23,28
2023-05-21 09:12:23,2023-05-21 09:13:14,85
2023-05-21 09:13:14,2023-05-21 09:13:20,10
2023-05-21 09:27:33,2023-05-21 09:28:33,20
2023-05-21 09:28:33,2023-05-21 09:30:32,97
2023-05-21 09:30:32,2023-05-21 09:31:33,114
2023-05-21 09:31:33,2023-05-21 09:32:24,95
2023-05-21 09:40:07,2023-05-21 09:41:07,9
2023-05-21 09:46:06,2023-05-21 09:49:38,106
2023-05-21 09:49:38,2023-05-21 09:50:39,104
2023-05-21 09:50:39,2023-05-21 09:51:39,104
2023-05-21 09:51:39,2023-05-21 09:52:39,107
2023-05-21 09:52:39,2023-05-21 09:53:39,108
2023-05-21 09:53:39,2023-05-21 09:54:40,107
2023-05-21 09:54:40,2023-05-21 09:55:40,109
2023-05-21 09:55:40,2023-05-21 09:56:41,105
2023-05-21 09:56:41,2023-05-21 09:57:41,104
2023-05-21 09:57:41,2023-05-21 09:58:42,74
2023-05-21 09:58:42,2023-05-21 09:59:32,87
2023-05-21 10:43:12,2023-05-21 10:44:12,6
2023-05-21 10:44:12,2023-05-21 10:44:38,10
2023-05-21 10:51:34,2023-05-21 10:52:34,13
2023-05-21 10:55:49,2023-05-21 10:56:49,8
2023-05-21 10:57:00,2023-05-21 10:58:00,17
2023-05-21 11:00:03,2023-05-21 11:01:03,11
2023-05-21 11:03:41,2023-05-21 11:04:41,27
2023-05-21 11:04:41,2023-05-21 11:06:11,58
2023-05-21 11:06:11,2023-05-21 11:07:34,70
2023-05-21 11:07:34,2023-05-21 11:08:12,62
2023-05-21 11:08:12,2023-05-21 11:09:43,108
2023-05-21 11:09:43,2023-05-21 11:10:43,105
2023-05-21 11:10:43,2023-05-21 11:11:48,106
2023-05-21 11:11:48,2023-05-21 11:11:54,12
2023-05-21 11:11:54,2023-05-21 11:12:56,103
2023-05-21 11:12:56,2023-05-21 11:13:14,32
2023-05-21 11:13:14,2023-05-21 11:13:55,74
2023-05-21 11:13:55,2023-05-21 11:14:14,32
2023-05-21 11:14:14,2023-05-21 11:14:56,77
2023-05-21 11:14:56,2023-05-21 11:15:14,32
2023-05-21 11:15:14,2023-05-21 11:15:56,79
2023-05-21 11:15:56,2023-05-21 11:16:14,33
2023-05-21 11:16:14,2023-05-21 11:16:57,79
2023-05-21 11:16:57,2023-05-21 11:17:15,34
2023-05-21 11:17:15,2023-05-21 11:17:57,75
2023-05-21 11:17:57,2023-05-21 11:18:15,33
2023-05-21 11:18:15,2023-05-21 11:18:58,77
2023-05-21 11:18:58,2023-05-21 11:19:15,32
2023-05-21 11:19:15,2023-05-21 11:19:57,77
2023-05-21 11:19:57,2023-05-21 11:20:16,28
2023-05-21 11:20:16,2023-05-21 11:21:00,73
2023-05-21 11:42:44,2023-05-21 11:43:44,6
2023-05-21 12:04:28,2023-05-21 12:05:28,6
2023-05-21 12:06:25,2023-05-21 12:07:25,12
2023-05-21 12:14:12,2023-05-21 12:15:12,21
2023-05-21 16:13:21,2023-05-21 16:17:31,125
2023-05-21 16:17:31,2023-05-21 16:18:04,67
2023-05-21 16:18:04,2023-05-21 16:19:05,117
2023-05-21 16:19:05,2023-05-21 16:20:17,138
2023-05-21 16:20:17,2023-05-21 16:20:34,33
2023-05-21 16:20:34,2023-05-21 16:20:57,47
2023-05-21 16:25:52,2023-05-21 16:30:22,135
2023-05-21 16:30:22,2023-05-21 16:30:49,50
2023-05-21 16:30:49,2023-05-21 16:31:53,122
2023-05-21 16:31:53,2023-05-21 16:32:20,52
2023-05-21 16:32:20,2023-05-21 16:33:00,75
2023-05-21 16:33:00,2023-05-21 16:33:21,40
2023-05-21 16:33:21,2023-05-21 16:34:04,72
2023-05-21 16:34:04,2023-05-21 16:34:25,41
2023-05-21 16:34:25,2023-05-21 16:34:50,50
2023-05-21 16:34:50,2023-05-21 16:35:13,14
2023-05-21 16:35:13,2023-05-21 16:35:25,16
2023-05-21 16:35:25,2023-05-21 16:36:01,69
2023-05-21 18:31:34,2023-05-21 18:32:34,25
2023-05-21 19:15:29,2023-05-21 19:16:59,45
2023-05-21 19:16:59,2023-05-21 19:17:07,15
2023-05-21 19:20:45,2023-05-21 19:21:45,20
2023-05-21 19:24:18,2023-05-21 19:25:18,11
2023-05-21 19:31:35,2023-05-21 19:32:55,40
2023-05-21 19:32:55,2023-05-21 19:33:33,22
2023-05-21 19:33:54,2023-05-21 19:34:54,18
2023-05-21 19:34:54,2023-05-21 19:35:51,6
2023-05-21 19:35:51,2023-05-21 19:36:09,7
2023-05-21 19:36:50,2023-05-21 19:37:50,14
2023-05-21 19:37:50,2023-05-21 19:38:12,27
2023-05-21 19:38:12,2023-05-21 19:38:55,10
2023-05-21 19:39:51,2023-05-21 19:40:51,12
2023-05-21 19:41:17,2023-05-21 19:42:17,8
2023-05-21 19:43:04,2023-05-21 19:44:04,20
2023-05-21 19:44:38,2023-05-21 19:46:44,63
2023-05-21 19:46:44,2023-05-21 19:47:10,33
2023-05-21 19:47:10,2023-05-21 19:47:55,78
2023-05-21 19:47:55,2023-05-21 19:48:09,24
2023-05-21 19:48:09,2023-05-21 19:49:14,74
2023-05-21 19:49:14,2023-05-21 19:49:42,49
2023-05-21 19:49:42,2023-05-21 19:50:43,111
2023-05-21 19:50:43,2023-05-21 19:51:45,114
2023-05-21 19:51:45,2023-05-21 19:51:57,13
2023-05-21 19:51:57,2023-05-21 19:52:47,85
2023-05-21 19:52:47,2023-05-21 19:52:52,11
2023-05-21 19:53:31,2023-05-21 19:54:31,10
2023-05-21 19:54:31,2023-05-21 19:55:13,37
2023-05-21 19:57:34,2023-05-21 19:58:34,26
2023-05-21 19:58:36,2023-05-21 19:59:40,32
2023-05-21 20:11:28,2023-05-21 20:12:28,22
2023-05-21 20:12:28,2023-05-21 20:14:11,134
2023-05-21 20:14:11,2023-05-21 20:14:31,38
2023-05-21 20:14:31,2023-05-21 20:15:11,79
2023-05-21 20:15:11,2023-05-21 20:15:37,46
2023-05-21 20:15:37,2023-05-21 20:15:49,21
2023-05-21 20:15:49,2023-05-21 20:16:25,69
2023-05-21 20:16:25,2023-05-21 20:16:49,35
2023-05-21 20:16:49,2023-05-21 20:17:01,20
2023-05-21 20:17:01,2023-05-21 20:17:25,40
2023-05-21 20:17:25,2023-05-21 20:17:35,16
2023-05-21 20:17:35,2023-05-21 20:18:22,86
2023-05-21 20:18:22,2023-05-21 20:18:35,25
2023-05-21 20:18:35,2023-05-21 20:19:35,106
2023-05-21 20:19:35,2023-05-21 20:19:51,29
2023-05-21 20:19:51,2023-05-21 20:20:07,32
2023-05-21 20:20:07,2023-05-21 20:20:35,46
2023-05-21 20:20:35,2023-05-21 20:20:59,41
2023-05-21 20:20:59,2023-05-21 20:21:24,40
2023-05-21 20:21:24,2023-05-21 20:21:50,43
2023-05-21 20:21:50,2023-05-21 20:22:12,16
2023-05-21 20:22:12,2023-05-21 20:22:36,31
2023-05-21 20:22:36,2023-05-21 20:22:55,31
2023-05-21 20:23:39,2023-05-21 20:24:39,10
2023-05-21 20:24:45,2023-05-21 20:25:45,19
2023-05-21 20:26:15,2023-05-21 20:27:15,19
2023-05-21 20:30:11,2023-05-21 20:31:11,11
2023-05-21 20:32:16,2023-05-21 20:33:16,6
2023-05-21 21:10:34,2023-05-21 21:11:36,31
2023-05-21 21:13:10,2023-05-21 21:14:10,26
2023-05-21 21:18:16,2023-05-21 21:19:20,32
2023-05-21 21:19:20,2023-05-21 21:20:04,18
2023-05-21 21:20:04,2023-05-21 21:20:59,17
2023-05-21 21:20:59,2023-05-21 21:21:51,7
2023-05-21 21:31:52,2023-05-21 21:32:52,25
2023-05-21 21:40:29,2023-05-21 21:41:31,31
2023-05-21 21:41:59,2023-05-21 21:42:59,28
2023-05-21 21:43:16,2023-05-21 21:44:20,32
2023-05-21 21:45:37,2023-05-21 21:46:37,20
2023-05-21 21:47:32,2023-05-21 21:48:32,9
2023-05-21 21:48:34,2023-05-21 21:49:34,25
2023-05-21 21:49:34,2023-05-21 21:49:46,25
2023-05-21 21:49:52,2023-05-21 21:50:52,6
2023-05-21 22:43:31,2023-05-21 22:44:31,10
2023-05-21 22:54:50,2023-05-21 22:55:50,6
2023-05-21 23:00:40,2023-05-21 23:01:40,9
2023-05-21 23:02:00,2023-05-21 23:03:00,8
2023-05-21 23:05:29,2023-05-21 23:06:29,10
2023-05-21 23:07:22,2023-05-21 23:08:22,6
2023-05-21 23:08:53,2023-05-21 23:09:53,10
2023-05-21 23:10:32,2023-05-21 23:11:32,24
2023-05-21 23:11:48,2023-05-21 23:12:48,23
2023-05-21 23:13:11,2023-05-21 23:14:11,19
2023-05-21 23:14:11,2023-05-21 23:14:19,15
2023-05-21 23:14:33,2023-05-21 23:15:33,18
2023-05-21 23:15:33,2023-05-21 23:15:40,11
2023-05-21 23:15:40,2023-05-21 23:16:04,37
2023-05-21 23:16:04,2023-05-21 23:16:33,53
2023-05-21 23:16:33,2023-05-21 23:16:52,32
2023-05-21 23:16:52,2023-05-21 23:17:48,56
2023-05-21 23:17:48,2023-05-21 23:18:10,40
2023-05-21 23:18:10,2023-05-21 23:18:23,19
2023-05-21 23:18:23,2023-05-21 23:18:49,42
2023-05-21 23:18:49,2023-05-21 23:19:44,80
2023-05-21 23:19:44,2023-05-21 23:19:48,4
2023-05-22 07:32:22,2023-05-22 07:34:04,51
2023-05-22 07:34:22,2023-05-22 07:37:32,95
2023-05-22 07:37:32,2023-05-22 07:38:32,103
2023-05-22 07:38:32,2023-05-22 07:39:31,91
2023-05-22 07:39:31,2023-05-22 07:40:34,68
2023-05-22 07:40:34,2023-05-22 07:41:34,104
2023-05-22 07:41:34,2023-05-22 07:42:55,68
2023-05-22 07:42:55,2023-05-22 07:43:23,49
2023-05-22 07:47:29,2023-05-22 07:48:29,18
2023-05-22 07:48:29,2023-05-22 07:49:55,70
2023-05-22 07:49:55,2023-05-22 07:50:37,76
2023-05-22 07:50:37,2023-05-22 07:51:01,44
2023-05-22 07:51:01,2023-05-22 07:51:37,64
2023-05-22 07:51:37,2023-05-22 07:52:02,44
2023-05-22 07:52:02,2023-05-22 07:52:37,64
2023-05-22 07:52:37,2023-05-22 07:53:02,43
2023-05-22 07:53:02,2023-05-22 07:53:37,61
2023-05-22 07:53:37,2023-05-22 07:54:02,33
2023-05-22 07:54:02,2023-05-22 07:54:37,62
2023-05-22 07:54:37,2023-05-22 07:54:41,3
2023-05-22 08:32:49,2023-05-22 08:34:19,45
2023-05-22 08:34:19,2023-05-22 08:35:53,108
2023-05-22 08:35:53,2023-05-22 08:36:54,116
2023-05-22 08:36:54,2023-05-22 08:37:31,63
2023-05-22 08:37:31,2023-05-22 08:39:35,127
2023-05-22 08:39:35,2023-05-22 08:40:36,115
2023-05-22 08:40:36,2023-05-22 08:41:24,92
2023-05-22 08:41:24,2023-05-22 08:42:16,112
2023-05-22 08:42:16,2023-05-22 08:42:59,84
2023-05-22 08:42:59,2023-05-22 08:44:28,106
2023-05-22 08:44:28,2023-05-22 08:44:40,20
2023-05-22 08:44:40,2023-05-22 08:45:49,123
2023-05-22 08:45:49,2023-05-22 08:46:02,24
2023-05-22 08:46:02,2023-05-22 08:46:56,96
2023-05-22 08:46:56,2023-05-22 08:47:09,20
2023-05-22 08:47:09,2023-05-22 08:47:59,67
2023-05-22 08:47:59,2023-05-22 08:48:06,9
2023-05-22 11:00:24,2023-05-22 11:04:38,127
2023-05-22 11:04:38,2023-05-22 11:05:37,85
2023-05-22 11:05:37,2023-05-22 11:05:48,11
2023-05-22 11:07:06,2023-05-22 11:08:06,11
2023-05-22 11:11:39,2023-05-22 11:12:39,16
